[  0.00] # 20 fps, link UP, last packet 361 ms ago
[  1.91] # 20 fps, link UP, last packet 1407 ms ago
[  4.91] # 20 fps, link UP, last packet 1429 ms ago
[  7.91] # 20 fps, link UP, last packet 4462 ms ago
[ 10.91] # 20 fps, link UP, last packet 1470 ms ago
[ 13.91] # 20 fps, link UP, last packet 502 ms ago
[ 16.91] # 20 fps, link UP, last packet 512 ms ago
[ 20.12] # 20 fps, link UP, last packet 537 ms ago
[ 23.12] # 20 fps, link UP, last packet 557 ms ago
[ 26.12] # 20 fps, link UP, last packet 3576 ms ago
[ 29.11] # 20 fps, link UP, last packet 596 ms ago
[ 32.11] # 20 fps, link UP, last packet 3615 ms ago
[ 35.12] # 20 fps, link UP, last packet 1634 ms ago
[ 38.22] # 20 fps, link UP, last packet 2653 ms ago
[ 41.11] # 20 fps, link down, last packet 5666 ms ago
[ 44.12] # 20 fps, link UP, last packet 2691 ms ago
[ 47.32] # 20 fps, link UP, last packet 2729 ms ago
[ 50.32] # 20 fps, link UP, last packet 770 ms ago
[ 53.36] # 20 fps, link UP, last packet 3810 ms ago
[ 56.43] # 20 fps, link down, last packet 6845 ms ago
[ 59.26] # 20 fps, link UP, last packet 2762 ms ago
[ 62.43] # 20 fps, link down, last packet 5784 ms ago
[ 65.44] # 20 fps, link down, last packet 8830 ms ago
[ 68.54] # 20 fps, link UP, last packet 2859 ms ago
[ 71.43] # 20 fps, link UP, last packet 871 ms ago
