# 18_selftest live stream, 2026-09-19, 100 ms window, one line a second. Sensors handled by hand:
# resting in shade (0-19 s), lifted toward the room lights (20-28 s), set down (35 s), then held
# under a lamp (37 s on). Shows the two channels respond to light and move INDEPENDENTLY
# (scatter 827 while transmission 488), i.e. two sensors on two pins, not one read twice.
t_s,trans_mV,scat_mV,tC
1.3,149,129,24.12
2.5,144,127,24.12
3.8,145,124,24.06
5.0,144,124,24.06
6.3,141,121,24.06
7.5,140,119,24.06
8.8,145,124,24.06
10.0,154,134,24.06
11.3,154,126,24.06
12.5,149,128,24.06
13.8,146,126,24.06
15.1,148,125,24.06
16.3,155,132,24.12
17.6,144,123,24.12
18.8,146,125,24.06
20.1,195,174,24.06
21.3,337,281,24.12
22.6,422,663,24.12
23.8,533,769,24.12
25.1,535,812,24.06
26.4,488,827,24.06
27.6,511,768,24.06
28.9,180,142,24.06
30.1,219,214,24.12
31.4,268,336,24.06
32.6,249,298,24.06
33.9,245,177,24.06
35.1,147,125,24.06
36.4,143,121,24.06
37.6,1142,788,24.06
38.9,1219,744,24.00
40.2,1277,843,24.06
