t_host_s,t_s,trans_mV,scat_mV,absT,absS,tC,stir_pct,swept,sweep_red,sweep_yellow,sweep_green,sweep_blue
0.595,-1.0,434,61,,,23.69,0,False,240,-359,-120,-444
1.595,-1.0,411,71,,,22.88,0,False,240,-359,-120,-444
2.637,-1.0,387,75,,,23.38,0,False,240,-359,-120,-444
3.595,-1.0,362,83,,,23.19,0,False,240,-359,-120,-444
4.595,-1.0,338,88,,,22.19,0,False,240,-359,-120,-444
5.65,-1.0,309,91,,,22.44,0,False,240,-359,-120,-444
6.596,-1.0,55,293,,,22.75,0,True,-194,-189,-182,-177
7.595,-1.0,263,99,,,21.62,0,False,-194,-189,-182,-177
8.681,-1.0,241,96,,,22.31,0,False,-194,-189,-182,-177
9.625,-1.0,225,99,,,22.12,0,False,-194,-189,-182,-177
10.596,-1.0,208,96,,,22.56,0,False,-194,-189,-182,-177
11.688,-1.0,199,94,,,22.0,0,False,-194,-189,-182,-177
12.596,-1.0,191,91,0.0807,-0.2869,21.62,0,False,-194,-189,-182,-177
13.597,-1.0,184,89,0.0969,-0.2773,22.81,0,False,-194,-189,-182,-177
14.596,-1.0,179,83,0.1089,-0.247,21.69,0,False,-194,-189,-182,-177
15.601,-1.0,176,79,0.1162,-0.2255,21.75,0,False,-194,-189,-182,-177
16.596,-1.0,8,257,1.4586,-0.7378,22.0,0,True,-193,-192,-192,-190
17.596,-1.0,175,71,0.1187,-0.1792,21.94,0,False,-193,-192,-192,-190
18.596,-1.0,177,68,0.1138,-0.1604,22.25,0,False,-193,-192,-192,-190
19.596,-1.0,183,60,0.0993,-0.1061,21.88,0,False,-193,-192,-192,-190
20.64,-1.0,192,57,0.0784,-0.0838,21.38,0,False,-193,-192,-192,-190
21.596,-1.0,201,52,0.0585,-0.0439,21.5,0,False,-193,-192,-192,-190
22.596,-1.0,205,48,0.05,-0.0091,21.88,0,False,-193,-192,-192,-190
23.641,-1.0,219,43,0.0213,0.0386,21.0,0,False,-193,-192,-192,-190
24.596,-1.0,231,41,-0.0019,0.0593,21.56,0,False,-193,-192,-192,-190
25.596,-1.0,246,38,-0.0292,0.0923,21.81,0,False,-193,-192,-192,-190
26.643,-1.0,0,202,,-0.6333,22.5,0,True,-339,-341,-343,-345
27.596,-1.0,277,31,-0.0808,0.1807,22.12,0,False,-339,-341,-343,-345
28.595,-1.0,296,28,-0.1096,0.2249,22.19,0,False,-339,-341,-343,-345
