wall,stir_pct,red_mv,yellow_mv,green_mv
22:19:59,100,167,144,482
22:20:09,100,140,124,427
22:20:19,100,138,118,415
22:20:29,100,151,140,466
22:20:39,100,155,128,459
22:20:49,100,163,139,478
22:20:59,100,145,127,448
22:21:09,100,141,127,430
22:21:19,0,131,112,389
22:21:29,0,126,105,388
22:21:39,0,134,113,391
22:21:49,0,131,112,386
22:21:59,0,146,122,418
22:22:09,0,133,116,401
22:22:19,0,133,116,401
22:22:29,0,132,106,382
22:22:39,0,142,121,407
22:22:49,0,128,110,392
22:22:59,0,132,108,385
22:23:09,0,130,111,385
22:23:19,0,136,107,389
22:23:29,0,136,110,389
22:23:39,0,133,110,385
22:23:49,0,137,111,394
22:23:59,0,125,107,373
22:24:09,0,136,114,381
22:24:19,0,132,111,389
22:24:29,100,134,126,386
22:24:39,100,128,107,379
22:24:49,0,149,123,426
22:24:59,0,136,113,389
22:25:09,0,135,111,388
22:25:20,100,125,103,365
22:25:30,100,126,106,369
22:25:40,0,135,113,388
22:25:50,0,127,105,370
22:26:00,0,132,108,380
22:26:10,0,133,109,380
22:26:20,0,142,121,416
22:26:30,0,144,122,417
22:26:40,0,133,111,387
22:26:50,0,145,124,429
22:27:01,100,142,124,423
22:27:11,0,145,123,419
22:27:21,0,133,117,390
22:27:31,0,136,116,397
22:27:41,0,137,113,389
22:27:51,0,130,111,375
22:28:01,0,135,113,379
22:28:11,0,135,113,377
22:28:21,0,136,112,380
22:28:31,0,135,112,381
22:28:41,0,132,110,384
